"ID_sort","umol_L"
"D14_30",25.9324855857294
"D15_30",14.9822410925582
"D16_30",37.6267288966286
"D17_30",25.3215794747321
"D18_30",12.4243098508644
"D19_30",34.1945259199171
"D20_30",31.3197602842484
"D21_30",37.2599037619152
"D22_30",41.5624733520572
"D23_30",37.9829967172848
"D24_30",34.154771330064
"D25_30",33.4053549715626
"D26_30",39.5084184561252
"D27_30",40.4855678148993
"D28_30",32.6243323736119
"D29_30",41.8857486827122
"D30_30",35.0117859749808
"D31_30",32.9211101461962
"D32_30",36.6200945397727
"D33_30",19.4973570655523
"D34_30",18.9149336250664
"D35_30",32.2376891592539
"D36_30",34.0910208513339
"D37_30",31.3625758452098
"D38_30",30.018392785375
"D39_30",34.5125559061605
"D42_30",32.7528039298425
"D43_30",33.2633554738284
"D44_30",53.9181266984815
"D45_30",33.274512190233
"D64_30",33.6528733107392
"D68_30",35.3909035951265
"D72_30",38.3203701457357
"T13_30",7.30463059770253
"T14_30",19.9718057726445
"T15_30",10.7760788292306
"T16_30",2.13793336557254
"T17_30",17.9745211580318
"T18_30",14.9990894122604
"T19_30",14.9605907271301
"T20_30",9.07304747033061
"T21_30",11.6900956717141
"T22_30",18.7845083152226
"T23_30",21.7541067597034
"T24_30",20.7788903678197
"T25_30",4.36174106241023
"T26_30",6.79296894204731
"T27_30",26.4422002720592
"T28_30",12.6800948429735
"T29_30",17.022695935322
"T30_30",10.8729737001541
"T31_30",16.8442867510251
"T32_30",25.3209241633095
"T33_30",22.5071380975882
"T34_30",21.7562409665619
"T35_30",31.046273625102
"T36_30",24.7317574940983
"T37_30",24.8473214185705
"T38_30",15.5569491533943
"T40_30",24.1456967276295
"T45_30",12.4933007334747
"T47_30",24.9138337978437
"T59_30",25.2383383202841
"T61_30",29.1117737132496
"T63_30",31.0806243266024
"T64_30",54.4485094069823
"T65_30",31.9590136720956
