"","diff","lwr","upr","p adj"
"trt.D-desiccation-D-control",3.76087327923485,-0.543625117051363,8.06537167552107,0.120084608981245
"trt.D-heat-D-control",-0.144470080090911,-4.54154892586595,4.25260876568413,0.999998737451414
"trt.T-control-D-control",0.858125579818182,-3.53895326595686,5.25520442559322,0.992286529410714
"trt.T-desiccation-D-control",6.80908368501818,2.30341864034825,11.3147487296881,0.000536876166213229
"trt.T-heat-D-control",-0.696121284626262,-5.33104935262406,3.93880678337153,0.997745839980213
"trt.D-heat-D-desiccation",-3.90534335932576,-8.20984175561198,0.399155036960453,0.0963067321205114
"trt.T-control-D-desiccation",-2.90274769941667,-7.20724609570289,1.40175069686955,0.361968084786878
"trt.T-desiccation-D-desiccation",3.04821040578333,-1.36715159097625,7.46357240254291,0.335996200880221
"trt.T-heat-D-desiccation",-4.45699456386112,-9.00418735317432,0.0901982254520872,0.0578385268787672
"trt.T-control-D-heat",1.00259565990909,-3.39448318586595,5.39967450568414,0.984344984650304
"trt.T-desiccation-D-heat",6.95355376510909,2.44788872043916,11.459218809779,0.000388877240896091
"trt.T-heat-D-heat",-0.551651204535352,-5.18657927253315,4.08327686346244,0.999264317336927
"trt.T-desiccation-T-control",5.9509581052,1.44529306053007,10.4566231498699,0.00337345929602595
"trt.T-heat-T-control",-1.55424686444444,-6.18917493244224,3.08068120355335,0.919870036852525
"trt.T-heat-T-desiccation",-7.50520496964444,-12.2432713805669,-2.76713855872196,0.000256950216047436
