"Gene.secondaryIdentifier","Gene.symbol","Gene.organism.name","Gene.pathways.identifier","Gene.pathways.name","Gene.pathways.dataSets.name"
"","LOC105319208","Crassostrea gigas","crg03013","Nucleocytoplasmic transport - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105319208","Crassostrea gigas","crg03015","mRNA surveillance pathway - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105319208","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105320302","Crassostrea gigas","crg00330","Arginine and proline metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105324156","Crassostrea gigas","crg04080","Neuroactive ligand-receptor interaction - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105324323","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105328062","Crassostrea gigas","crg04120","Ubiquitin mediated proteolysis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105329085","Crassostrea gigas","crg03410","Base excision repair - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105329085","Crassostrea gigas","crg04140","Autophagy - animal - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105329166","Crassostrea gigas","crg00330","Arginine and proline metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105332044","Crassostrea gigas","crg04068","FoxO signaling pathway - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105332044","Crassostrea gigas","crg04120","Ubiquitin mediated proteolysis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105332044","Crassostrea gigas","crg04150","mTOR signaling pathway - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105338263","Crassostrea gigas","crg00562","Inositol phosphate metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105338263","Crassostrea gigas","crg04070","Phosphatidylinositol signaling system - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105338263","Crassostrea gigas","crg04145","Phagosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105340370","Crassostrea gigas","crg03060","Protein export - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105340370","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105345989","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117680291","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117680327","Crassostrea gigas","crg04145","Phagosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117683156","Crassostrea gigas","crg04080","Neuroactive ligand-receptor interaction - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117684408","Crassostrea gigas","crg04120","Ubiquitin mediated proteolysis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117687051","Crassostrea gigas","crg00511","Other glycan degradation - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117687051","Crassostrea gigas","crg00513","Various types of N-glycan biosynthesis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117687051","Crassostrea gigas","crg00520","Amino sugar and nucleotide sugar metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117687051","Crassostrea gigas","crg00531","Glycosaminoglycan degradation - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117687051","Crassostrea gigas","crg00603","Glycosphingolipid biosynthesis - globo and isoglobo series - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117687051","Crassostrea gigas","crg00604","Glycosphingolipid biosynthesis - ganglio series - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117687051","Crassostrea gigas","crg04142","Lysosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117691793","Crassostrea gigas","crg00330","Arginine and proline metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117692235","Crassostrea gigas","crg04145","Phagosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117692236","Crassostrea gigas","crg04145","Phagosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
