TagSeq_Plate,TagSeq_Well,Geoduck_ID
Plate 1,A1,814
Plate 1,A2,729
Plate 1,A3,771
Plate 1,A4,822
Plate 1,A5,750
Plate 1,A6,785
Plate 1,A7,849
Plate 1,A8,859
Plate 1,A9,737
Plate 1,A10,735
Plate 1,A11,797
Plate 1,A12,777
Plate 1,B1,825
Plate 1,B2,829
Plate 1,B3,717
Plate 1,B4,801
Plate 1,B5,417
Plate 1,B6,451
Plate 1,B7,359
Plate 1,B8,367
Plate 1,B9,379
Plate 1,B10,402
Plate 1,B11,458
Plate 1,B12,445
Plate 1,C1,322
Plate 1,C2,397
Plate 1,C3,783
Plate 1,C4,1645
Plate 1,C5,1600
Plate 1,C6,1518
Plate 1,C7,1549
Plate 1,C8,1593
Plate 1,C9,1500
Plate 1,C10,1471
Plate 1,C11,1531
Plate 1,C12,1638
Plate 1,D1,29
Plate 1,D2,10
Plate 1,D3,462
Plate 1,D4,343
Plate 1,D5,374
Plate 1,D6,430
Plate 1,D7,346
Plate 1,D8,350
Plate 1,D9,389
Plate 1,D10,833
Plate 1,D11,1464
Plate 1,D12,1578
Plate 1,E1,1537
Plate 1,E2,1647
Plate 1,E3,1521
Plate 1,E4,1489
Plate 1,E5,1582
Plate 1,E6,1459
Plate 1,E7,1576
Plate 1,E8,1567
Plate 1,E9,362
Plate 1,E10,393
Plate 1,E11,426
Plate 1,E12,326
Plate 1,F1,385
Plate 1,F2,370
Plate 1,F3,409
Plate 1,F4,819
Plate 1,F5,757
Plate 1,F6,774
Plate 1,F7,1641
Plate 1,F8,1480
Plate 1,F9,1630
Plate 1,F10,1545
Plate 1,F11,1623
Plate 1,F12,1611
Plate 1,G1,1462
Plate 1,G2,1557
Plate 1,G3,1455
Plate 1,G4,1572
Plate 1,G5,355
Plate 1,G6,845
Plate 1,G7,809
Plate 1,G8,853
Plate 1,G9,746
Plate 1,G10,793
Plate 1,G11,1524
Plate 1,G12,1534
Plate 1,H1,1449
Plate 1,H2,1446
Plate 1,H3,22
Plate 1,H4,18
Plate 1,H5,339
Plate 1,H6,331
Plate 1,H7,789
Plate 1,H8,837
Plate 1,H9,722
Plate 1,H10,1615
Plate 1,H11,1617
Plate 1,H12,1512
Plate 2,A1,15
Plate 2,A2,27
Plate 2,A3,439
Plate 2,A4,414
Plate 2,A5,754
Plate 2,A6,726
Plate 2,A7,1651
Plate 2,A8,1590
Plate 2,A9,1609
Plate 2,A10,1584
Plate 2,A11,763
Plate 2,A12,841
Plate 2,B1,766
Plate 2,B2,1603
Plate 2,B3,1506
Plate 2,B4,1482
Plate 2,B5,1515
Plate 2,B6,1627
Plate 2,B7,1495
Plate 2,B8,1539
Plate 2,B9,1
Plate 2,B10,741
Plate 2,B11,1440
Plate 2,B12,1504
Plate 2,C1,1554
Plate 2,C2,1498
Plate 2,C3,1491
Plate 2,C4,1597
Plate 2,C5,1527
Plate 2,C6,1474
Plate 2,C7,453
Plate 2,C8,334
Plate 2,C9,381
Plate 2,C10,441
Plate 2,C11,807
Plate 2,C12,1452
Plate 2,D1,1485
Plate 2,D2,1560
Plate 2,D3,1621
Plate 2,D4,1543
Plate 2,D5,7
Plate 2,D6,422
Plate 2,D7,434
Plate 2,D8,405
Plate 2,D9,1632
Plate 2,D10,1510
